Word	Start Word Index	End Word Index	POS Label	NER Label	Tweet	Tweet POS Labels	Tweet NER Labels
jordan	13	13	['PROPN']	['O']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	['PROPN', 'AUX', 'ADV', 'ADJ', 'ADP', 'DET', 'NOUN', 'VERB', 'DET', 'NOUN', 'AUX', 'VERB', 'DET', 'PROPN', 'NOUN', 'CCONJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
dj	1	1	['PROPN']	['O']	#np dj got us - falling in love ag - u$her ft. pitbull	['X', 'PROPN', 'VERB', 'PRON', 'PUNCT', 'VERB', 'ADP', 'NOUN', 'ADV', 'PUNCT', 'PROPN', 'VERB', 'PROPN']	['O', 'O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'O', 'B-PER', 'O', 'B-PER']
@user676	6	6	PROPN	O	#teamnevertoobusytotweet we are on it !!! @user676 url196	['X', 'PRON', 'AUX', 'ADP', 'PRON', 'PUNCT', 'PROPN', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
d	10	10	['PROPN']	['O']	3-0 !! phew !!! good no td !!! go job d !!! #birdgang	['NUM', 'PUNCT', 'INTJ', 'PUNCT', 'ADJ', 'DET', 'NOUN', 'PUNCT', 'VERB', 'NOUN', 'PROPN', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user9	0	0	PROPN	O	@user9 when have u ever said yes ... ?	['PROPN', 'ADV', 'AUX', 'PRON', 'ADV', 'VERB', 'INTJ', 'PUNCT', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user15	0	0	PROPN	O	@user15 what happened ?	['PROPN', 'PRON', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O']
@user48	0	0	PROPN	O	@user48 ha !! damn auto spellcheck * rondo * lmbo	['PROPN', 'INTJ', 'PUNCT', 'ADJ', 'NOUN', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O']
@user58	0	0	PROPN	O	@user58 congrats !!! fredo noticed you !! please help me get noticed . :p	['PROPN', 'NOUN', 'PUNCT', 'PROPN', 'VERB', 'PRON', 'PUNCT', 'INTJ', 'VERB', 'PRON', 'AUX', 'VERB', 'PUNCT', 'SYM']	['O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user144	0	0	PROPN	O	@user144 kmsl . leave anna out . of this . god ima have to hear about this all week huh	['PROPN', 'INTJ', 'PUNCT', 'VERB', 'PROPN', 'ADP', 'PUNCT', 'ADP', 'PRON', 'PUNCT', 'PROPN', 'VERB', 'VERB', 'PART', 'VERB', 'ADP', 'PRON', 'DET', 'NOUN', 'INTJ']	['O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user148	0	0	PROPN	O	@user148 4 pages to be precise	['PROPN', 'NUM', 'NOUN', 'PART', 'AUX', 'ADJ']	['O', 'O', 'O', 'O', 'O', 'O']
@user155	0	0	PROPN	O	@user155 that hurts !	['PROPN', 'PRON', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O']
@user156	0	0	PROPN	O	@user156 i 'm allergic and they taste horrible	['PROPN', 'PRON', 'AUX', 'ADJ', 'CCONJ', 'PRON', 'VERB', 'ADJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user175	0	0	PROPN	O	@user175 i ve been fine .. could be better lol [:	['PROPN', 'PRON', 'AUX', 'AUX', 'ADJ', 'PUNCT', 'AUX', 'AUX', 'ADJ', 'INTJ', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user181	0	0	PROPN	O	@user181 no , there are more extensive steps there . try them all , in order . ^ps	['PROPN', 'INTJ', 'PUNCT', 'PRON', 'VERB', 'ADV', 'ADJ', 'NOUN', 'ADV', 'PUNCT', 'VERB', 'PRON', 'DET', 'PUNCT', 'ADP', 'NOUN', 'PUNCT', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user197	0	0	PROPN	O	@user197 hehee , thankyou :d awh lmao :) xxx	['PROPN', 'INTJ', 'PUNCT', 'VERB', 'SYM', 'INTJ', 'INTJ', 'SYM', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user200	0	0	PROPN	O	@user200 ima get me a flip phone for real	['PROPN', 'VERB', 'VERB', 'PRON', 'DET', 'ADJ', 'NOUN', 'ADP', 'ADJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user205	0	0	PROPN	O	@user205 i lost all my contacts , smh .	['PROPN', 'PRON', 'VERB', 'DET', 'PRON', 'NOUN', 'PUNCT', 'INTJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user223	0	0	PROPN	O	@user223 lmao i was waiting for u to say something after the barely pulled it out ....... they still weak as hell tho lol	['PROPN', 'INTJ', 'PRON', 'AUX', 'VERB', 'ADP', 'PRON', 'PART', 'VERB', 'PRON', 'ADP', 'DET', 'ADV', 'VERB', 'PRON', 'ADP', 'PUNCT', 'PRON', 'ADV', 'ADJ', 'ADP', 'NOUN', 'ADV', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user233	0	0	PROPN	O	@user233 u not callin me	['PROPN', 'PRON', 'PART', 'VERB', 'PRON']	['O', 'O', 'O', 'O', 'O']
@user257	0	0	PROPN	O	@user257 i got some inking done on him this morning . not long now .	['PROPN', 'PRON', 'VERB', 'DET', 'NOUN', 'ADJ', 'ADP', 'PRON', 'DET', 'NOUN', 'PUNCT', 'ADV', 'ADJ', 'ADV', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user258	0	0	PROPN	O	@user258 cuz i can n where u been biden at ?	['PROPN', 'SCONJ', 'PRON', 'AUX', 'CCONJ', 'ADV', 'PRON', 'AUX', 'PROPN', 'ADP', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O']
@user305	0	0	PROPN	O	@user305 thank you !!!!	['PROPN', 'VERB', 'PRON', 'PUNCT']	['O', 'O', 'O', 'O']
@user308	0	0	PROPN	O	@user308 i may have to get minecraft after watching videos of it	['PROPN', 'PRON', 'AUX', 'VERB', 'PART', 'VERB', 'NOUN', 'SCONJ', 'VERB', 'NOUN', 'ADP', 'PRON']	['O', 'O', 'O', 'O', 'O', 'O', 'B-MISC', 'O', 'O', 'O', 'O', 'O']
@user314	0	0	PROPN	O	@user314 smh they had to book him fa something .. smh	['PROPN', 'INTJ', 'PRON', 'VERB', 'PART', 'VERB', 'PRON', 'ADP', 'PRON', 'PUNCT', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user315	0	0	PROPN	O	@user315 if you 've got ta leave , make sure they never forget you . that 's what i do .	['PROPN', 'SCONJ', 'PRON', 'AUX', 'VERB', 'PART', 'VERB', 'PUNCT', 'VERB', 'ADJ', 'PRON', 'ADV', 'VERB', 'PRON', 'PUNCT', 'PRON', 'AUX', 'PRON', 'PRON', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user321	0	0	PROPN	O	@user321 i miss fiko ..	['PROPN', 'PRON', 'VERB', 'PROPN', 'PUNCT']	['O', 'O', 'O', 'B-PER', 'O']
@user342	0	0	PROPN	O	@user342 otay	['PROPN', 'INTJ']	['O', 'O']
@user348	0	0	PROPN	O	@user348 @user1252 2+4 = 6 i have 8 .	['PROPN', 'PROPN', 'NUM', 'PUNCT', 'NUM', 'PRON', 'VERB', 'NUM', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user1252	1	1	PROPN	O	@user348 @user1252 2+4 = 6 i have 8 .	['PROPN', 'PROPN', 'NUM', 'PUNCT', 'NUM', 'PRON', 'VERB', 'NUM', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user372	0	0	PROPN	O	@user372 ooooo you made my head spin with that one ! you are such a cheeky studmuffin !	['PROPN', 'INTJ', 'PRON', 'VERB', 'PRON', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PUNCT', 'PRON', 'AUX', 'DET', 'DET', 'ADJ', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user407	0	0	PROPN	O	@user407 lmfao !	['PROPN', 'INTJ', 'PUNCT']	['O', 'O', 'O']
@user416	0	0	PROPN	O	@user416 he 1 shy of tie for most 3s in nba history and 2 shy of breaking it	['PROPN', 'PRON', 'NUM', 'NOUN', 'ADP', 'NOUN', 'ADP', 'ADJ', 'NOUN', 'ADP', 'PROPN', 'NOUN', 'CCONJ', 'NUM', 'NOUN', 'SCONJ', 'VERB', 'PRON']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user440	0	0	PROPN	O	@user440 ha . aha !!!!! you so nasty !!!!!!!.. but i like it lmao	['PROPN', 'INTJ', 'PUNCT', 'INTJ', 'PUNCT', 'PRON', 'ADV', 'ADJ', 'PUNCT', 'CCONJ', 'PRON', 'VERB', 'PRON', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user473	0	0	PROPN	O	@user473 @user948 @user1227 , morning #etp fam	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
@user948	1	1	PROPN	O	@user473 @user948 @user1227 , morning #etp fam	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
@user1227	2	2	PROPN	O	@user473 @user948 @user1227 , morning #etp fam	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
#etp	5	5	['PROPN']	['O']	@user473 @user948 @user1227 , morning #etp fam	['PROPN', 'PROPN', 'PROPN', 'PUNCT', 'NOUN', 'PROPN', 'NOUN']	['O', 'O', 'O', 'O', 'O', 'O', 'O']
@user481	0	0	PROPN	O	@user481 most annoying song ever .	['PROPN', 'ADV', 'ADJ', 'NOUN', 'ADV', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O']
@user483	0	0	PROPN	O	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it	['PROPN', 'PROPN', 'PROPN', 'NOUN', 'AUX', 'VERB', 'SCONJ', 'PRON', 'AUX', 'PART', 'VERB', 'NOUN', 'CCONJ', 'ADV', 'PRON', 'VERB', 'ADV', 'ADP', 'PRON', 'PRON', 'VERB', 'PRON']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user232	1	1	PROPN	O	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it	['PROPN', 'PROPN', 'PROPN', 'NOUN', 'AUX', 'VERB', 'SCONJ', 'PRON', 'AUX', 'PART', 'VERB', 'NOUN', 'CCONJ', 'ADV', 'PRON', 'VERB', 'ADV', 'ADP', 'PRON', 'PRON', 'VERB', 'PRON']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user1743	2	2	PROPN	O	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it	['PROPN', 'PROPN', 'PROPN', 'NOUN', 'AUX', 'VERB', 'SCONJ', 'PRON', 'AUX', 'PART', 'VERB', 'NOUN', 'CCONJ', 'ADV', 'PRON', 'VERB', 'ADV', 'ADP', 'PRON', 'PRON', 'VERB', 'PRON']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user488	0	0	PROPN	O	@user488 and uh next video shoot in the hood holla at a nigga ju heard ??	['PROPN', 'CCONJ', 'INTJ', 'ADJ', 'NOUN', 'NOUN', 'ADP', 'DET', 'NOUN', 'VERB', 'ADP', 'DET', 'NOUN', 'PRON', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user496	0	0	PROPN	O	@user496 is having a giveaway ! url169 url169	['PROPN', 'AUX', 'VERB', 'DET', 'NOUN', 'PUNCT', 'X', 'X']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user499	0	0	PROPN	O	@user499 lol where got ??	['PROPN', 'INTJ', 'ADV', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O', 'O']
@user506	0	0	PROPN	O	@user506 devoured it lol	['PROPN', 'VERB', 'PRON', 'INTJ']	['O', 'O', 'O', 'O']
@user516	0	0	PROPN	O	@user516 follow me back yo !	['PROPN', 'VERB', 'PRON', 'ADV', 'INTJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O']
@user534	0	0	PROPN	O	@user534 wat channle	['PROPN', 'DET', 'NOUN']	['O', 'O', 'O']
@user543	0	0	PROPN	O	@user543 but it 's healthy cuz it has spinach !! ;)	['PROPN', 'CCONJ', 'PRON', 'AUX', 'ADJ', 'SCONJ', 'PRON', 'VERB', 'NOUN', 'PUNCT', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user554	0	0	PROPN	O	@user554 hahahaha , maybe it s ment to be . (x	['PROPN', 'INTJ', 'PUNCT', 'ADV', 'PRON', 'AUX', 'VERB', 'PART', 'VERB', 'PUNCT', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user562	0	0	PROPN	O	@user562 ok thank you !! :) i will check it out ♥	['PROPN', 'INTJ', 'VERB', 'PRON', 'PUNCT', 'SYM', 'PRON', 'AUX', 'VERB', 'PRON', 'ADP', 'SYM']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user564	0	0	PROPN	O	@user564 u eat sushi ?	['PROPN', 'PRON', 'VERB', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'O', 'O']
@user566	0	0	PROPN	O	@user566 17	['PROPN', 'NUM']	['O', 'O']
@user574	0	0	PROPN	O	@user574 lol u good just want to give credit where credit is due whensending to radio or tv cats needs their royalties nah mean !	['PROPN', 'INTJ', 'PRON', 'ADJ', 'ADV', 'VERB', 'PART', 'VERB', 'NOUN', 'ADV', 'NOUN', 'AUX', 'ADJ', 'VERB', 'ADP', 'NOUN', 'CCONJ', 'NOUN', 'NOUN', 'VERB', 'PRON', 'NOUN', 'VERB', 'VERB', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user575	0	0	PROPN	O	@user575 yaaay ! ^.^	['PROPN', 'INTJ', 'PUNCT', 'SYM']	['O', 'O', 'O', 'O']
@user578	0	0	PROPN	O	@user578 : it s lil bumbs around her lip and she swear it s her lipgloss #dumbniggathere < bumps * typo *	['PROPN', 'PUNCT', 'PRON', 'AUX', 'ADJ', 'NOUN', 'ADP', 'PRON', 'NOUN', 'CCONJ', 'PRON', 'VERB', 'PRON', 'AUX', 'PRON', 'NOUN', 'X', 'PUNCT', 'NOUN', 'PUNCT', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user579	0	0	PROPN	O	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now	['PROPN', 'PROPN', 'PROPN', 'INTJ', 'PRON', 'ADV', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADV', 'PRON', 'AUX', 'ADV', 'ADP', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADV']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user39	1	1	PROPN	O	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now	['PROPN', 'PROPN', 'PROPN', 'INTJ', 'PRON', 'ADV', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADV', 'PRON', 'AUX', 'ADV', 'ADP', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADV']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user1719	2	2	PROPN	O	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now	['PROPN', 'PROPN', 'PROPN', 'INTJ', 'PRON', 'ADV', 'VERB', 'ADJ', 'ADP', 'NOUN', 'ADV', 'PRON', 'AUX', 'ADV', 'ADP', 'ADJ', 'ADP', 'NUM', 'NOUN', 'ADV']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user599	0	0	PROPN	O	@user599 i wanted to tell him to sat his old ass down somewhere , doing the most ....	['PROPN', 'PRON', 'VERB', 'PART', 'VERB', 'PRON', 'PART', 'VERB', 'PRON', 'ADJ', 'NOUN', 'ADV', 'ADV', 'PUNCT', 'VERB', 'DET', 'ADJ', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user608	0	0	PROPN	O	@user608 i know the feeling .	['PROPN', 'PRON', 'VERB', 'DET', 'NOUN', 'PUNCT']	['O', 'O', 'O', 'O', 'O', 'O']
@user633	0	0	PROPN	O	@user633 hey jream , where will the after party be at ?	['PROPN', 'INTJ', 'PROPN', 'PUNCT', 'ADV', 'AUX', 'DET', 'ADP', 'NOUN', 'AUX', 'ADP', 'PUNCT']	['O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user641	0	0	PROPN	O	@user641 yea from 7 - to 1 lol	['PROPN', 'INTJ', 'ADP', 'NUM', 'PUNCT', 'ADP', 'NUM', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user649	0	0	PROPN	O	@user649 get the new macbook air !!	['PROPN', 'VERB', 'DET', 'ADJ', 'PROPN', 'PROPN', 'PUNCT']	['O', 'O', 'O', 'O', 'B-MISC', 'I-MISC', 'O']
@user657	0	0	PROPN	O	@user657 no worries ... seems like a lot of people are busy	['PROPN', 'DET', 'NOUN', 'PUNCT', 'VERB', 'SCONJ', 'DET', 'NOUN', 'ADP', 'NOUN', 'AUX', 'ADJ']	['O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O', 'O']
@user659	0	0	PROPN	O	"@user659 did u get that janette !? "" prefection rhymes with one direction "" not janette gonzalez . ~ lol"	['PROPN', 'AUX', 'PRON', 'VERB', 'DET', 'PROPN', 'PUNCT', 'PUNCT', 'NOUN', 'VERB', 'ADP', 'NUM', 'NOUN', 'PUNCT', 'PART', 'PROPN', 'PROPN', 'PUNCT', 'PUNCT', 'INTJ']	['O', 'O', 'O', 'O', 'O', 'B-PER', 'O', 'O', 'O', 'O', 'O', 'B-ORG', 'I-ORG', 'O', 'O', 'B-PER', 'I-PER', 'O', 'O', 'O']
