Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Tweet	Candidate Label	PROPOSED NER Label	LW NER Label	Akshat NER Label	LW Additional Notes
po ako	5	6	['PROPN', 'PROPN']	['X', 'X']	['X', 'X']	['O', 'O']	[]	rt @user2298 : uhm funny po ako 😹 thank you po ! #stbratsexhibit url655	rt @user2298 : uhm funny <[po ako]> 😹 thank you po ! #stbratsexhibit url655	['O', 'O']	['O', 'O']	O O	it's a phrase
asif siddiqui daily	3	5	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['O', 'O', 'O']	[]	the latest the asif siddiqui daily ! url1500 thanks to @user2204 @user1267 @user2577 #food #foodie	the latest the <[asif siddiqui daily]> ! url1500 thanks to @user2204 @user1267 @user2577 #food #foodie	['B-MISC', 'I-MISC', 'I-MISC']	['B-ORG', 'I-ORG', 'I-ORG']	B-ORG I-ORG I-ORG	
marathon filibuster	2	3	['PROPN', 'PROPN']	['ADJ', 'NOUN']	['ADJ', 'NOUN']	['O', 'O']	[]	" in marathon filibuster , democrats call for gun limits " by jonah engel bromwich via nyt the new york times url916	" in <[marathon filibuster]> , democrats call for gun limits " by jonah engel bromwich via nyt the new york times url916	['O', 'O']	['O', 'O']	O O	
#gameofthrones s5	13	14	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	rt @user2549 : rt this tweet to win tickets to an exclusive london #gameofthrones s5 screening on march 14 ! uk only - closes 3/3 ! url224 …	rt @user2549 : rt this tweet to win tickets to an exclusive london <[#gameofthrones s5]> screening on march 14 ! uk only - closes 3/3 ! url224 …	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	
rugby league	5	6	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	what a tough half of rugby league ! impressed with our uncompromising defence , it 's a big effort to nil leeds in a half ! #wire	what a tough half of <[rugby league]> ! impressed with our uncompromising defence , it 's a big effort to nil leeds in a half ! #wire	['O', 'O']	['B-ORG', 'I-ORG']	B-ORG I-ORG	
carvan vl	6	7	['PROPN', 'PROPN']	['NOUN', 'X']	['NOUN', 'X']	['O', 'O']	[]	rt @user615 : @user1581 this unstoppable carvan vl go far ! satan & his disciples has not much power2stop this caravan ! #200daysmsg2 s a bash …	rt @user615 : @user1581 this unstoppable <[carvan vl]> go far ! satan & his disciples has not much power2stop this caravan ! #200daysmsg2 s a bash …	['O', 'O']	['O', 'O']	O O	
nike sb	1	2	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['ORG']	new nike sb : £ 15.00 ( 0 bids ) end date : wednesday apr-6-2016 17:28:16 bstbid now | add to watch list url779	new <[nike sb]> : £ 15.00 ( 0 bids ) end date : wednesday apr-6-2016 17:28:16 bstbid now | add to watch list url779	['B-ORG', 'I-ORG']	['B-MISC', 'I-MISC']	B-MISC I-MISC	
Wednesday Apr-6-2016	13	14	['PROPN', 'PROPN']	['PROPN', 'NUM', 'NOUN', 'NUM']	['PROPN', 'NUM', 'NOUN', 'NUM']	['O', 'O']	['DATE', 'DATE', 'DATE', 'DATE']	new nike sb : £ 15.00 ( 0 bids ) end date : wednesday apr-6-2016 17:28:16 bstbid now | add to watch list url779	new nike sb : £ 15.00 ( 0 bids ) end date : <[wednesday apr-6-2016]> 17:28:16 bstbid now | add to watch list url779	['B-MISC', 'I-MISC', 'MISC', 'MISC']	['B-MISC', 'I-MISC']	O O	
hongera kenya7s	12	13	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	kenya is indeed a hotbed of champions ! we rock the world hongera kenya7s . made us so proud #karibunimashujaa #kenya7s @user717 @user745	kenya is indeed a hotbed of champions ! we rock the world <[hongera kenya7s]> . made us so proud #karibunimashujaa #kenya7s @user717 @user745	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	product name (jersey)
u8/10/12/14/16/19	0	0	['PROPN']	['VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'PROPN', 'NUM']	['VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'PROPN', 'NUM']	['O']	['DATE']	register now for the junior @user136 u8/10/12/14/16/19 - easter 2017 - just £ 290 pp	<[register now for the junior @user136 u8/10/12/14/16/19]> - easter 2017 - just £ 290 pp	['B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC']	['B-MISC']	B-MISC	misnumbered
custom decal	6	7	['PROPN', 'PROPN']	['PROPN', 'NOUN']	['PROPN', 'NOUN']	['O', 'O']	[]	donald trump #trumptrain 2016 large black custom decal intlship #republican #2a #sgp #optrump url1006	donald trump #trumptrain 2016 large black <[custom decal]> intlship #republican #2a #sgp #optrump url1006	['B-MISC', 'I-MISC']	['O', 'O']	O O	
buddhe ek din	15	17	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['O', 'O', 'O']	[]	rt @user2478 : @user2591 be tolerant to criticism young man , you also will be buddhe ek din like me	rt @user2478 : @user2591 be tolerant to criticism young man , you also will be <[buddhe ek din]> like me	['B-MISC', 'I-MISC', 'I-MISC']	['O', 'O', 'O']	O O O	translation of "old man one day" - Hindi
model s	9	10	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	rt @user725 : have you seen this ? tesla model s drives sleeping owner through traffic : a video of a napping driver behind t ... url225 …	rt @user725 : have you seen this ? tesla <[model s]> drives sleeping owner through traffic : a video of a napping driver behind t ... url225 …	['B-MISC', 'I-MISC']	['B-MISC', 'I-MISC']	B-MISC I-MISC	product name (Car)
prime minister	10	11	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	rt @user2483 : so we need : 1 ) a prime minister 2 ) an opposition leader 3 ) an england manager 4 ) a ukip leader 5 ) a top gear host 6 ) a n …	rt @user2483 : so we need : 1 ) a <[prime minister]> 2 ) an opposition leader 3 ) an england manager 4 ) a ukip leader 5 ) a top gear host 6 ) a n …	['O', 'O']	['O', 'O']	O O	
foam roller	9	10	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	check out review of the fitwood m - roll foam roller url1457 via @user296	check out review of the fitwood m - roll <[foam roller]> url1457 via @user296	['O', 'O']	['O', 'O']	O O	
teen choice	1	2	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	my teen choice for #choicemusicgroupmale is #superjunior my #teenchoice nominee for #choicefandom is #elf 289	my <[teen choice]> for #choicemusicgroupmale is #superjunior my #teenchoice nominee for #choicefandom is #elf 289	['O', 'O']	['O', 'O']	B-MISC I-MISC	
lady gaga	5	6	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	< tweet to vote for lady gaga . #iheartawards #ladygaga #triplethreat vota na gaga	< tweet to vote for <[lady gaga]> . #iheartawards #ladygaga #triplethreat vota na gaga	['B-MISC', 'I-MISC']	['B-PER', 'I-PER']	B-PER I-PER	
al -maarij,34	10	11	['PROPN', 'PROPN']	['X', 'X']	['X', 'X']	['O', 'O']	[]	and who take due care of their prayer : [ al -maarij,34 ] url1128	and who take due care of their prayer : [ <[al -maarij,34]> ] url1128	['O', 'O']	['B-MISC', 'I-MISC']	B-MISC I-MISC	from the Quran
stattrak karambit	4	5	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	rt @user2523 : #csgogiveaway stattrak karambit rt + like + follow @user2523 + @user250 enter here : url863 url219 …	rt @user2523 : #csgogiveaway <[stattrak karambit]> rt + like + follow @user2523 + @user250 enter here : url863 url219 …	['O', 'O']	['B-MISC', 'I-MISC']	B-MISC I-MISC	CSGO tool
men in blue	7	9	['PROPN']	['PROPN']	['PROPN']	['O']	[]	rt @user1688 : we will back the men in blue till the very end for the #t20worldcup ! show your support in the comments below . url224 …	rt @user1688 : we will back the <[men]> in blue till the very end for the #t20worldcup ! show your support in the comments below . url224 …	['B-MISC']	['O']	B-ORG I-ORG I-ORG	---> entity men in blue LW: Set to org
valentine 's day	1	3	['PROPN']	['PROPN']	['PROPN']	['O']	['DATE']	happy valentine 's day ! ♥	happy <[valentine 's day]> ! ♥	['B-MISC']	[B-MISC]	B-MISC I-MISC I-MISC	
valentine 's day	4	6	['PROPN']	['PROPN']	['PROPN']	['O']	[]	📷 erzascrlt : happy valentine ’s day from aqours 💖 url785	📷 erzascrlt : happy <[valentine ’s day]> from aqours 💖 url785	B-MISC	B-MISC	B-MISC I-MISC I-MISC	
