Word	Start Word Index	End Word Index	POS Label	Spacy POS Label	Final POS Label	NER Label	Spacy NER Label	Final NER Label	Tweet	Candidate Label
zig zag	25	26	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	rt @user1760 : crocodiles are fast on their feet , but can not turn very well . if one is chasing you , run in zig zag lines .	rt @user1760 : crocodiles are fast on their feet , but can not turn very well . if one is chasing you , run in <[zig zag]> lines .
guilty gear	5	6	['PROPN', 'PROPN']	['ADJ', 'NOUN']	['ADJ', 'NOUN']	['O', 'O']	[]	['O', 'O']	rt @user1456 : dizzy in guilty gear #evo2016 url401	rt @user1456 : dizzy in <[guilty gear]> #evo2016 url401
yella habibi	12	13	['PROPN', 'PROPN']	['X', 'X']	['X', 'X']	['O', 'O']	[]	['O', 'O']	watching #9thehabibs is like hanging out with my in - laws . yella habibi ! 😂	watching #9thehabibs is like hanging out with my in - laws . <[yella habibi]> ! 😂
po ako	5	6	['PROPN', 'PROPN']	['X', 'X']	['X', 'X']	['O', 'O']	[]	['O', 'O']	rt @user2298 : uhm funny po ako 😹 thank you po ! #stbratsexhibit url655	rt @user2298 : uhm funny <[po ako]> 😹 thank you po ! #stbratsexhibit url655
asif siddiqui daily	3	5	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['O', 'O', 'O']	[]	['B-MISC', 'I-MISC', 'I-MISC']	the latest the asif siddiqui daily ! url1500 thanks to @user2204 @user1267 @user2577 #food #foodie	the latest the <[asif siddiqui daily]> ! url1500 thanks to @user2204 @user1267 @user2577 #food #foodie
marathon filibuster	2	3	['PROPN', 'PROPN']	['ADJ', 'NOUN']	['ADJ', 'NOUN']	['O', 'O']	[]	['O', 'O']	""" in marathon filibuster , democrats call for gun limits "" by jonah engel bromwich via nyt the new york times url916"	""" in <[marathon filibuster]> , democrats call for gun limits "" by jonah engel bromwich via nyt the new york times url916"
#gameofthrones s5	13	14	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	rt @user2549 : rt this tweet to win tickets to an exclusive london #gameofthrones s5 screening on march 14 ! uk only - closes 3/3 ! url224 …	rt @user2549 : rt this tweet to win tickets to an exclusive london <[#gameofthrones s5]> screening on march 14 ! uk only - closes 3/3 ! url224 …
rugby league	5	6	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	what a tough half of rugby league ! impressed with our uncompromising defence , it 's a big effort to nil leeds in a half ! #wire	what a tough half of <[rugby league]> ! impressed with our uncompromising defence , it 's a big effort to nil leeds in a half ! #wire
carvan vl	6	7	['PROPN', 'PROPN']	['NOUN', 'X']	['NOUN', 'X']	['O', 'O']	[]	['O', 'O']	rt @user615 : @user1581 this unstoppable carvan vl go far ! satan & his disciples has not much power2stop this caravan ! #200daysmsg2 s a bash …	rt @user615 : @user1581 this unstoppable <[carvan vl]> go far ! satan & his disciples has not much power2stop this caravan ! #200daysmsg2 s a bash …
nike sb	1	2	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	['ORG']	['B-ORG', 'I-ORG']	new nike sb : £ 15.00 ( 0 bids ) end date : wednesday apr-6-2016 17:28:16 bstbid now | add to watch list url779	new <[nike sb]> : £ 15.00 ( 0 bids ) end date : wednesday apr-6-2016 17:28:16 bstbid now | add to watch list url779
wednesday apr-6-2016	13	14	['PROPN', 'PROPN']	['PROPN', 'NUM', 'NOUN', 'NUM']	['PROPN', 'NUM', 'NOUN', 'NUM']	['O', 'O']	['DATE', 'DATE', 'DATE', 'DATE']	['B-MISC', 'I-MISC', 'MISC', 'MISC']	new nike sb : £ 15.00 ( 0 bids ) end date : wednesday apr-6-2016 17:28:16 bstbid now | add to watch list url779	new nike sb : £ 15.00 ( 0 bids ) end date : <[wednesday apr-6-2016]> 17:28:16 bstbid now | add to watch list url779
hongera kenya7s	12	13	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	kenya is indeed a hotbed of champions ! we rock the world hongera kenya7s . made us so proud #karibunimashujaa #kenya7s @user717 @user745	kenya is indeed a hotbed of champions ! we rock the world <[hongera kenya7s]> . made us so proud #karibunimashujaa #kenya7s @user717 @user745
u8/10/12/14/16/19	0	6	['PROPN']	['VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'PROPN', 'NUM']	['VERB', 'ADV', 'ADP', 'DET', 'ADJ', 'PROPN', 'NUM']	['O']	['DATE']	['B-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC', 'I-MISC']	register now for the junior @user136 u8/10/12/14/16/19 - easter 2017 - just £ 290 pp	<[register now for the junior @user136 u8/10/12/14/16/19]> - easter 2017 - just £ 290 pp
custom decal	6	7	['PROPN', 'PROPN']	['PROPN', 'NOUN']	['PROPN', 'NOUN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	donald trump #trumptrain 2016 large black custom decal intlship #republican #2a #sgp #optrump url1006	donald trump #trumptrain 2016 large black <[custom decal]> intlship #republican #2a #sgp #optrump url1006
buddhe ek din	15	17	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['PROPN', 'PROPN', 'PROPN']	['O', 'O', 'O']	[]	['B-MISC', 'I-MISC', 'I-MISC']	rt @user2478 : @user2591 be tolerant to criticism young man , you also will be buddhe ek din like me	rt @user2478 : @user2591 be tolerant to criticism young man , you also will be <[buddhe ek din]> like me
model s	9	10	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	rt @user725 : have you seen this ? tesla model s drives sleeping owner through traffic : a video of a napping driver behind t ... url225 …	rt @user725 : have you seen this ? tesla <[model s]> drives sleeping owner through traffic : a video of a napping driver behind t ... url225 …
prime minister	10	11	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	rt @user2483 : so we need : 1 ) a prime minister 2 ) an opposition leader 3 ) an england manager 4 ) a ukip leader 5 ) a top gear host 6 ) a n …	rt @user2483 : so we need : 1 ) a <[prime minister]> 2 ) an opposition leader 3 ) an england manager 4 ) a ukip leader 5 ) a top gear host 6 ) a n …
foam roller	9	10	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	check out review of the fitwood m - roll foam roller url1457 via @user296	check out review of the fitwood m - roll <[foam roller]> url1457 via @user296
teen choice	1	2	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	my teen choice for #choicemusicgroupmale is #superjunior my #teenchoice nominee for #choicefandom is #elf 289	my <[teen choice]> for #choicemusicgroupmale is #superjunior my #teenchoice nominee for #choicefandom is #elf 289
lady gaga	5	6	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['PROPN', 'PROPN']	['O', 'O']	[]	['B-MISC', 'I-MISC']	< tweet to vote for lady gaga . #iheartawards #ladygaga #triplethreat vota na gaga	< tweet to vote for <[lady gaga]> . #iheartawards #ladygaga #triplethreat vota na gaga
al -maarij,34	10	11	['PROPN', 'PROPN']	['X', 'X']	['X', 'X']	['O', 'O']	[]	['O', 'O']	and who take due care of their prayer : [ al -maarij,34 ] url1128	and who take due care of their prayer : [ <[al -maarij,34]> ] url1128
stattrak karambit	4	5	['PROPN', 'PROPN']	['NOUN', 'NOUN']	['NOUN', 'NOUN']	['O', 'O']	[]	['O', 'O']	rt @user2523 : #csgogiveaway stattrak karambit rt + like + follow @user2523 + @user250 enter here : url863 url219 …	rt @user2523 : #csgogiveaway <[stattrak karambit]> rt + like + follow @user2523 + @user250 enter here : url863 url219 …
