Word	POS Label	NER Label	Spacy POS Label	Spacy NER Label	Tweet	Candidate Label
#lebronshould	['PROPN']	['O']	['PROPN']	['B-MISC']	#lebronshould know his only championship is ' slam dunk ' . @user2004	<[#lebronshould]> know his only championship is ' slam dunk ' . @user2004
#teamceltics	['PROPN']	['O']	['PROPN']	['O']	#teamceltics . lakers we coming for you .	<[#teamceltics]> . lakers we coming for you .
#jordanheels	['PROPN']	['O']	['PROPN']	['B-MISC']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	<[#jordanheels]> are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls
jordan	['PROPN']	['O']	['PROPN']	['B-MISC']	#jordanheels are very useful in a fight cause a hoodrat will put a jordan stamp n hole in ur dome lls	#jordanheels are very useful in a fight cause a hoodrat will put a <[jordan]> stamp n hole in ur dome lls
dj	['PROPN']	['O']	['PROPN']	['B-MISC']	#np dj got us - falling in love ag - u$her ft. pitbull	#np <[dj]> got us - falling in love ag - u$her ft. pitbull
@user676	['PROPN']	['O']	['X']	B-PER	#teamnevertoobusytotweet we are on it !!! @user676 url196	#teamnevertoobusytotweet we are on it !!! <[@user676]> url196
d	['PROPN']	['O']	['PROPN']	['O']	3-0 !! phew !!! good no td !!! go job d !!! #birdgang	3-0 !! phew !!! good no td !!! go job <[d]> !!! #birdgang
@user9	['PROPN']	['O']	['PROPN']	B-PER	@user9 when have u ever said yes ... ?	<[@user9]> when have u ever said yes ... ?
@user15	['PROPN']	['O']	['PROPN']	['B-PER']	@user15 what happened ?	<[@user15]> what happened ?
@user48	['PROPN']	['O']	['NOUN']	B-PER	@user48 ha !! damn auto spellcheck * rondo * lmbo	<[@user48]> ha !! damn auto spellcheck * rondo * lmbo
@user58	['PROPN']	['O']	['PROPN']	B-PER	@user58 congrats !!! fredo noticed you !! please help me get noticed . :p	<[@user58]> congrats !!! fredo noticed you !! please help me get noticed . :p
@user144	['PROPN']	['O']	['PROPN']	B-PER	@user144 kmsl . leave anna out . of this . god ima have to hear about this all week huh	<[@user144]> kmsl . leave anna out . of this . god ima have to hear about this all week huh
@user148	['PROPN']	['O']	['NOUN']	B-PER	@user148 4 pages to be precise	<[@user148]> 4 pages to be precise
@user155	['PROPN']	['O']	['X']	B-PER	@user155 that hurts !	<[@user155]> that hurts !
@user156	['PROPN']	['O']	['PROPN']	B-PER	@user156 i 'm allergic and they taste horrible	<[@user156]> i 'm allergic and they taste horrible
@user175	['PROPN']	['O']	['PROPN']	B-PER	@user175 i ve been fine .. could be better lol [:	<[@user175]> i ve been fine .. could be better lol [:
@user181	['PROPN']	['O']	['PROPN']	B-PER	@user181 no , there are more extensive steps there . try them all , in order . ^ps	<[@user181]> no , there are more extensive steps there . try them all , in order . ^ps
@user197	['PROPN']	['O']	['NOUN']	B-PER	@user197 hehee , thankyou :d awh lmao :) xxx	<[@user197]> hehee , thankyou :d awh lmao :) xxx
@user200	['PROPN']	['O']	['PROPN']	B-PER	@user200 ima get me a flip phone for real	<[@user200]> ima get me a flip phone for real
@user205	['PROPN']	['O']	['NOUN']	B-PER	@user205 i lost all my contacts , smh .	<[@user205]> i lost all my contacts , smh .
@user223	['PROPN']	['O']	['PROPN']	B-PER	@user223 lmao i was waiting for u to say something after the barely pulled it out ....... they still weak as hell tho lol	<[@user223]> lmao i was waiting for u to say something after the barely pulled it out ....... they still weak as hell tho lol
@user233	['PROPN']	['O']	['PROPN']	B-PER	@user233 u not callin me	<[@user233]> u not callin me
@user257	['PROPN']	['O']	['PROPN']	B-PER	@user257 i got some inking done on him this morning . not long now .	<[@user257]> i got some inking done on him this morning . not long now .
@user258	['PROPN']	['O']	['PROPN']	B-PER	@user258 cuz i can n where u been biden at ?	<[@user258]> cuz i can n where u been biden at ?
@user305	['PROPN']	['O']	['PROPN']	B-PER	@user305 thank you !!!!	<[@user305]> thank you !!!!
@user308	['PROPN']	['O']	['PROPN']	B-PER	@user308 i may have to get minecraft after watching videos of it	<[@user308]> i may have to get minecraft after watching videos of it
@user314	['PROPN']	['O']	['X']	B-PER	@user314 smh they had to book him fa something .. smh	<[@user314]> smh they had to book him fa something .. smh
@user315	['PROPN']	['O']	['PROPN']	B-PER	@user315 if you 've got ta leave , make sure they never forget you . that 's what i do .	<[@user315]> if you 've got ta leave , make sure they never forget you . that 's what i do .
@user321	['PROPN']	['O']	['PROPN']	B-PER	@user321 i miss fiko ..	<[@user321]> i miss fiko ..
@user342	['PROPN']	['O']	['X']	B-PER	@user342 otay	<[@user342]> otay
@user348	['PROPN']	['O']	['NOUN']	B-PER	@user348 @user1252 2+4 = 6 i have 8 .	<[@user348]> @user1252 2+4 = 6 i have 8 .
@user1252	['PROPN']	['O']	['NOUN']	B-PER	@user348 @user1252 2+4 = 6 i have 8 .	@user348 <[@user1252]> 2+4 = 6 i have 8 .
@user372	['PROPN']	['O']	['PROPN']	B-PER	@user372 ooooo you made my head spin with that one ! you are such a cheeky studmuffin !	<[@user372]> ooooo you made my head spin with that one ! you are such a cheeky studmuffin !
@user407	['PROPN']	['O']	['X']	B-PER	@user407 lmfao !	<[@user407]> lmfao !
@user416	['PROPN']	['O']	['PROPN']	B-PER	@user416 he 1 shy of tie for most 3s in nba history and 2 shy of breaking it	<[@user416]> he 1 shy of tie for most 3s in nba history and 2 shy of breaking it
@user440	['PROPN']	['O']	['PROPN']	B-PER	@user440 ha . aha !!!!! you so nasty !!!!!!!.. but i like it lmao	<[@user440]> ha . aha !!!!! you so nasty !!!!!!!.. but i like it lmao
@user473	['PROPN']	['O']	['X']	B-PER	@user473 @user948 @user1227 , morning #etp fam	<[@user473]> @user948 @user1227 , morning #etp fam
@user948	['PROPN']	['O']	['NUM']	B-PER	@user473 @user948 @user1227 , morning #etp fam	@user473 <[@user948]> @user1227 , morning #etp fam
@user1227	['PROPN']	['O']	['NUM']	B-PER	@user473 @user948 @user1227 , morning #etp fam	@user473 @user948 <[@user1227]> , morning #etp fam
#etp	['PROPN']	['O']	['PROPN']	['O']	@user473 @user948 @user1227 , morning #etp fam	@user473 @user948 @user1227 , morning <[#etp]> fam
@user481	['PROPN']	['O']	['NOUN']	B-PER	@user481 most annoying song ever .	<[@user481]> most annoying song ever .
@user483	['PROPN']	['O']	['NOUN']	B-PER	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it	<[@user483]> @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user232	['PROPN']	['O']	['NUM']	B-PER	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it	@user483 <[@user232]> @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user1743	['PROPN']	['O']	['NUM']	B-PER	@user483 @user232 @user1743 niggas be lieing bout they do nt eat pussy but when it comes down to it they do it	@user483 @user232 <[@user1743]> niggas be lieing bout they do nt eat pussy but when it comes down to it they do it
@user488	['PROPN']	['O']	['NOUN']	B-PER	@user488 and uh next video shoot in the hood holla at a nigga ju heard ??	<[@user488]> and uh next video shoot in the hood holla at a nigga ju heard ??
@user496	['PROPN']	['O']	['NOUN']	B-PER	@user496 is having a giveaway ! url169 url169	<[@user496]> is having a giveaway ! url169 url169
@user499	['PROPN']	['O']	['PROPN']	B-PER	@user499 lol where got ??	<[@user499]> lol where got ??
@user506	['PROPN']	['O']	['PROPN']	B-PER	@user506 devoured it lol	<[@user506]> devoured it lol
@user516	['PROPN']	['O']	['PROPN']	B-PER	@user516 follow me back yo !	<[@user516]> follow me back yo !
@user534	['PROPN']	['O']	['PROPN']	B-PER	@user534 wat channle	<[@user534]> wat channle
@user543	['PROPN']	['O']	['PROPN']	B-PER	@user543 but it 's healthy cuz it has spinach !! ;)	<[@user543]> but it 's healthy cuz it has spinach !! ;)
@user554	['PROPN']	['O']	['X']	B-PER	@user554 hahahaha , maybe it s ment to be . (x	<[@user554]> hahahaha , maybe it s ment to be . (x
@user562	['PROPN']	['O']	['PROPN']	B-PER	@user562 ok thank you !! :) i will check it out ♥	<[@user562]> ok thank you !! :) i will check it out ♥
@user564	['PROPN']	['O']	['X']	B-PER	@user564 u eat sushi ?	<[@user564]> u eat sushi ?
@user566	['PROPN']	['O']	['PROPN']	B-PER	@user566 17	<[@user566]> 17
@user574	['PROPN']	['O']	['NOUN']	B-PER	@user574 lol u good just want to give credit where credit is due whensending to radio or tv cats needs their royalties nah mean !	<[@user574]> lol u good just want to give credit where credit is due whensending to radio or tv cats needs their royalties nah mean !
@user575	['PROPN']	['O']	['NOUN']	B-PER	@user575 yaaay ! ^.^	<[@user575]> yaaay ! ^.^
@user578	['PROPN']	['O']	['PROPN']	B-PER	@user578 : it s lil bumbs around her lip and she swear it s her lipgloss #dumbniggathere < bumps * typo *	<[@user578]> : it s lil bumbs around her lip and she swear it s her lipgloss #dumbniggathere < bumps * typo *
@user579	['PROPN']	['O']	['NOUN']	B-PER	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now	<[@user579]> @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now
@user39	['PROPN']	['O']	['NUM']	B-PER	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now	@user579 <[@user39]> @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now
@user1719	['PROPN']	['O']	['NUM']	B-PER	@user579 @user39 @user1719 yea i already had close to 160gig so i 'm probably at close to 190 gig now	@user579 @user39 <[@user1719]> yea i already had close to 160gig so i 'm probably at close to 190 gig now
@user599	['PROPN']	['O']	['PROPN']	B-PER	@user599 i wanted to tell him to sat his old ass down somewhere , doing the most ....	<[@user599]> i wanted to tell him to sat his old ass down somewhere , doing the most ....
@user608	['PROPN']	['O']	['PROPN']	B-PER	@user608 i know the feeling .	<[@user608]> i know the feeling .
@user633	['PROPN']	['O']	['PROPN']	B-PER	@user633 hey jream , where will the after party be at ?	<[@user633]> hey jream , where will the after party be at ?
@user641	['PROPN']	['O']	['NOUN']	B-PER	@user641 yea from 7 - to 1 lol	<[@user641]> yea from 7 - to 1 lol
@user649	['PROPN']	['O']	['NOUN']	B-PER	@user649 get the new macbook air !!	<[@user649]> get the new macbook air !!
@user657	['PROPN']	['O']	['PROPN']	B-PER	@user657 no worries ... seems like a lot of people are busy	<[@user657]> no worries ... seems like a lot of people are busy
@user659	['PROPN']	['O']	['PROPN']	B-PER	"@user659 did u get that janette !? "" prefection rhymes with one direction "" not janette gonzalez . ~ lol"	"<[@user659]> did u get that janette !? "" prefection rhymes with one direction "" not janette gonzalez . ~ lol"
@user681	['PROPN']	['O']	['PROPN']	B-PER	@user681 i have them in my fridge right now , but they should be fine , i could freeze them if ya like .	<[@user681]> i have them in my fridge right now , but they should be fine , i could freeze them if ya like .
@user706	['PROPN']	['O']	['PROPN']	B-PER	@user706 i 'm off thursday . is that good for you ?	<[@user706]> i 'm off thursday . is that good for you ?
thursday	['PROPN']	['O']	['PROPN']	['B-MISC']	@user706 i 'm off thursday . is that good for you ?	@user706 i 'm off <[thursday]> . is that good for you ?
@user713	['PROPN']	['O']	['PROPN']	B-PER	@user713 hey yh i 'm in bristol this saturday for my birthday , is der nefin goin on x	<[@user713]> hey yh i 'm in bristol this saturday for my birthday , is der nefin goin on x
saturday	['PROPN']	['O']	['PROPN']	['B-MISC']	@user713 hey yh i 'm in bristol this saturday for my birthday , is der nefin goin on x	@user713 hey yh i 'm in bristol this <[saturday]> for my birthday , is der nefin goin on x
@user716	['PROPN']	['O']	['PROPN']	B-PER	@user716 they tryna close all the black hs 's in charlotte	<[@user716]> they tryna close all the black hs 's in charlotte
hs	['PROPN']	['O']	['PROPN']	['O']	@user716 they tryna close all the black hs 's in charlotte	@user716 they tryna close all the black <[hs]> 's in charlotte
@user721	['PROPN']	['O']	['PROPN']	B-PER	@user721 i remember when you had like a thousand . you got the juice now .	<[@user721]> i remember when you had like a thousand . you got the juice now .
@user726	['PROPN']	['O']	['PROPN']	['B-ORG']	@user726 is giving away 2 $ 250 grocery gift cards to associated foods . winner announced wed on 2news at 10 ! url84	<[@user726]> is giving away 2 $ 250 grocery gift cards to associated foods . winner announced wed on 2news at 10 ! url84
wed	['PROPN']	['O']	['PROPN', 'PROPN']	['B-MISC']	@user726 is giving away 2 $ 250 grocery gift cards to associated foods . winner announced wed on 2news at 10 ! url84	@user726 is giving away 2 $ 250 grocery gift cards to associated foods . winner announced <[wed]> on 2news at 10 ! url84
@user727	['PROPN']	['O']	['PROPN']	B-PER	@user727 :/ it 's okay . i guess people are going again next week , do you think you 'll go ?	<[@user727]> :/ it 's okay . i guess people are going again next week , do you think you 'll go ?
@user736	['PROPN']	['O']	['X']	B-PER	@user736 that how long my pubes are ? i 'm gon na go trim them too !	<[@user736]> that how long my pubes are ? i 'm gon na go trim them too !
@user757	['PROPN']	['O']	['PROPN']	B-PER	@user757 omg luke you need to watch remember me . i literally was balling . you 'd love it .	<[@user757]> omg luke you need to watch remember me . i literally was balling . you 'd love it .
@user782	['PROPN']	['O']	['NOUN']	B-PER	@user782 @user247 yes ! dm an email address to send the link to !	<[@user782]> @user247 yes ! dm an email address to send the link to !
@user247	['PROPN']	['O']	['NOUN']	B-PER	@user782 @user247 yes ! dm an email address to send the link to !	@user782 <[@user247]> yes ! dm an email address to send the link to !
@user792	['PROPN']	['O']	['NOUN']	B-PER	@user792 ... when will you come out to the field :)	<[@user792]> ... when will you come out to the field :)
@user797	['PROPN']	['O']	['PROPN']	B-PER	@user797 cool , meet us at kieran 's if you can . court , too ? others ?	<[@user797]> cool , meet us at kieran 's if you can . court , too ? others ?
@user805	['PROPN']	['O']	['NOUN']	B-PER	@user805 @user2113 glue our lips together with that black gunk !	<[@user805]> @user2113 glue our lips together with that black gunk !
@user2113	['PROPN']	['O']	['NOUN']	B-PER	@user805 @user2113 glue our lips together with that black gunk !	@user805 <[@user2113]> glue our lips together with that black gunk !
@user834	['PROPN']	['O']	['PROPN']	B-PER	@user834 lol , thanks . why you say that tho ? haha !!	<[@user834]> lol , thanks . why you say that tho ? haha !!
@user839	['PROPN']	['O']	['PROPN']	B-PER	@user839 western fries	<[@user839]> western fries
@user857	['PROPN']	['O']	['PROPN']	B-PER	@user857 lol it wasnt blood but thanks .	<[@user857]> lol it wasnt blood but thanks .
@user873	['PROPN']	['O']	['NOUN']	B-PER	@user873 @user1561 miss y'all too just gon na leave me out the damn convo dicks lol	<[@user873]> @user1561 miss y'all too just gon na leave me out the damn convo dicks lol
@user1561	['PROPN']	['O']	['NOUN']	B-PER	@user873 @user1561 miss y'all too just gon na leave me out the damn convo dicks lol	@user873 <[@user1561]> miss y'all too just gon na leave me out the damn convo dicks lol
@user902	['PROPN']	['O']	['PROPN']	B-PER	@user902 weird cause your not doin either ..	<[@user902]> weird cause your not doin either ..
@user909	['PROPN']	['O']	['NOUN']	B-PER	@user909 that fallout vegas game looks neat	<[@user909]> that fallout vegas game looks neat
@user933	['PROPN']	['O']	['PROPN']	B-PER	@user933 loolll i was lyin gem	<[@user933]> loolll i was lyin gem
@user939	['PROPN']	['O']	['PROPN']	B-PER	@user939 if u want some funny & true quotes on your timeline then u should follow » @user91 « he 'll have u laughing all day !	<[@user939]> if u want some funny & true quotes on your timeline then u should follow » @user91 « he 'll have u laughing all day !
@user91	['PROPN']	['O']	['PROPN']	B-PER	@user939 if u want some funny & true quotes on your timeline then u should follow » @user91 « he 'll have u laughing all day !	@user939 if u want some funny & true quotes on your timeline then u should follow » <[@user91]> « he 'll have u laughing all day !
@user942	['PROPN']	['O']	['X']	B-PER	@user942 @user2079 me three ! @user1323	<[@user942]> @user2079 me three ! @user1323
@user2079	['PROPN']	['O']	['NUM']	B-PER	@user942 @user2079 me three ! @user1323	@user942 <[@user2079]> me three ! @user1323
@user1323	['PROPN']	['O']	['X']	B-PER	@user942 @user2079 me three ! @user1323	@user942 @user2079 me three ! <[@user1323]>
@user955	['PROPN']	['O']	['PROPN']	B-PER	@user955 looking good in the pic u put up	<[@user955]> looking good in the pic u put up
@user997	['PROPN']	['O']	['PROPN']	B-PER	@user997 lmaooo iit was my mans .. iit was n't hurt at first but now i feel dat shiit	<[@user997]> lmaooo iit was my mans .. iit was n't hurt at first but now i feel dat shiit
@user1016	['PROPN']	['O']	['X']	B-PER	@user1016 she looks like it pacin' back & forth lol	<[@user1016]> she looks like it pacin' back & forth lol
@user1034	['PROPN']	['O']	['PROPN']	B-PER	@user1034 follow @user497 & win ca$h playing your favorite video games ! #gamersaloon	<[@user1034]> follow @user497 & win ca$h playing your favorite video games ! #gamersaloon
@user497	['PROPN']	['O']	['PROPN']	B-PER	@user1034 follow @user497 & win ca$h playing your favorite video games ! #gamersaloon	@user1034 follow <[@user497]> & win ca$h playing your favorite video games ! #gamersaloon
@user1038	['PROPN']	['O']	['PROPN']	B-PER	@user1038 lmao i 'm not a sheep who listens to it cos everyone else does , it s generally shit :(	<[@user1038]> lmao i 'm not a sheep who listens to it cos everyone else does , it s generally shit :(
@user1046	['PROPN']	['O']	['NUM']	B-PER	@user1046 thnx	<[@user1046]> thnx
@user1064	['PROPN']	['O']	['PROPN']	B-PER	@user1064 knows what 's up . and what 's up is my dick .	<[@user1064]> knows what 's up . and what 's up is my dick .
@user1068	['PROPN']	['O']	['PROPN']	B-PER	@user1068 right ..	<[@user1068]> right ..
@user1082	['PROPN']	['O']	['PROPN']	B-PER	@user1082 when do you start your job ?	<[@user1082]> when do you start your job ?
@user1101	['PROPN']	['O']	['NOUN']	B-PER	@user1101 lol no pork slime	<[@user1101]> lol no pork slime
@user1125	['PROPN']	['O']	['PROPN']	B-PER	@user1125 10th ... that random chicks nasty ass breath :-)	<[@user1125]> 10th ... that random chicks nasty ass breath :-)
@user1127	['PROPN']	['O']	['NOUN']	B-PER	@user1127 lyod and wayne - you that was bigggg !	<[@user1127]> lyod and wayne - you that was bigggg !
@user1161	['PROPN']	['O']	['PROPN']	B-PER	@user1161 idc we got rings we aint chumps	<[@user1161]> idc we got rings we aint chumps
@user1178	['PROPN']	['O']	['PROPN']	B-PER	@user1178 ; awe you miss me ??	<[@user1178]> ; awe you miss me ??
@user1183	['PROPN']	['O']	['PROPN']	['B-PER']	@user1183 #ynwa best wishes at this sad time	<[@user1183]> #ynwa best wishes at this sad time
@user1210	['PROPN']	['O']	['PROPN']	B-PER	@user1210 it is google maps , but i do n't think it was a prank , it 's just the normal kind of thing that happens in germany	<[@user1210]> it is google maps , but i do n't think it was a prank , it 's just the normal kind of thing that happens in germany
@user1213	['PROPN']	['O']	['PROPN']	B-PER	@user1213 what 's new ? lol	<[@user1213]> what 's new ? lol
@user1306	['PROPN']	['O']	['PROPN']	B-PER	@user1306 omg u r from pa ? i am too (: where abouts ?	<[@user1306]> omg u r from pa ? i am too (: where abouts ?
@user1309	['PROPN']	['O']	['NOUN']	B-PER	@user1309 in bham i & teamel_al will be in full effect 4 @user398 10/30/10 !	<[@user1309]> in bham i & teamel_al will be in full effect 4 @user398 10/30/10 !
teamel_al	['PROPN']	['O']	['PROPN']	['O']	@user1309 in bham i & teamel_al will be in full effect 4 @user398 10/30/10 !	@user1309 in bham i & <[teamel_al]> will be in full effect 4 @user398 10/30/10 !
@user398	['PROPN']	['O']	['NOUN']	B-PER	@user1309 in bham i & teamel_al will be in full effect 4 @user398 10/30/10 !	@user1309 in bham i & teamel_al will be in full effect 4 <[@user398]> 10/30/10 !
@user1314	['PROPN']	['O']	['PROPN']	B-PER	@user1314 lets do the damn thing :]	<[@user1314]> lets do the damn thing :]
@user1349	['PROPN']	['O']	['PROPN']	B-PER	@user1349 ok so we are cool i was n't sure smh i have people saying ridiculous stuff all day :( so sorry	<[@user1349]> ok so we are cool i was n't sure smh i have people saying ridiculous stuff all day :( so sorry
@user1370	['PROPN']	['O']	['PROPN']	B-PER	@user1370 i think i cut like , 6 - 8 inches . it 's nice , but i miss my big ponytail !	<[@user1370]> i think i cut like , 6 - 8 inches . it 's nice , but i miss my big ponytail !
@user1371	['PROPN']	['O']	['PROPN']	B-PER	@user1371 smfh that 's fucking crazy	<[@user1371]> smfh that 's fucking crazy
@user1389	['PROPN']	['O']	['PROPN']	B-PER	@user1389 schl is ok so far .... will calll u soon ... still with my fone ... he is good ;-) hw r u ?	<[@user1389]> schl is ok so far .... will calll u soon ... still with my fone ... he is good ;-) hw r u ?
@user1398	['PROPN']	['O']	['PROPN']	B-PER	@user1398 yes . i 'm also gong to eastside 's pre-show rehearsal , and trying to go to yours as well . #teamdiddlehype #reppinhometeams	<[@user1398]> yes . i 'm also gong to eastside 's pre-show rehearsal , and trying to go to yours as well . #teamdiddlehype #reppinhometeams
@user1419	['PROPN']	['O']	['PROPN']	B-PER	@user1419 hell yea	<[@user1419]> hell yea
@user1448	['PROPN']	['O']	['PROPN']	B-PER	"@user1448 does n't change anything if it 's a "" best seller . "" ie @user695 and the wwe title . most businesses reinvest their profits into new things"	"<[@user1448]> does n't change anything if it 's a "" best seller . "" ie @user695 and the wwe title . most businesses reinvest their profits into new things"
@user695	['PROPN']	['O']	['PROPN']	B-PER	"@user1448 does n't change anything if it 's a "" best seller . "" ie @user695 and the wwe title . most businesses reinvest their profits into new things"	"@user1448 does n't change anything if it 's a "" best seller . "" ie <[@user695]> and the wwe title . most businesses reinvest their profits into new things"
title	['PROPN']	['O']	['PROPN']	['O']	"@user1448 does n't change anything if it 's a "" best seller . "" ie @user695 and the wwe title . most businesses reinvest their profits into new things"	"@user1448 does n't change anything if it 's a "" best seller . "" ie @user695 and the wwe <[title]> . most businesses reinvest their profits into new things"
@user1450	['PROPN']	['O']	['PROPN']	['B-PER']	@user1450 sup shirt off	<[@user1450]> sup shirt off
@user1462	['PROPN']	['O']	['PROPN']	B-PER	@user1462 was guud shitty ass	<[@user1462]> was guud shitty ass
@user1475	['PROPN']	['O']	['PROPN']	B-PER	@user1475 @user732 jesus are you two still at it ? lolx	<[@user1475]> @user732 jesus are you two still at it ? lolx
@user732	['PROPN']	['O']	['NOUN']	B-PER	@user1475 @user732 jesus are you two still at it ? lolx	@user1475 <[@user732]> jesus are you two still at it ? lolx
jesus	['PROPN']	['O']	['PROPN']	['B-MISC']	@user1475 @user732 jesus are you two still at it ? lolx	@user1475 @user732 <[jesus]> are you two still at it ? lolx
@user1496	['PROPN']	['O']	['NOUN']	B-PER	@user1496 yoy my cuzzin told me it came on @ 950	<[@user1496]> yoy my cuzzin told me it came on @ 950
@user1502	['PROPN']	['O']	['X']	B-PER	@user1502 @user1785 nah we thought of it a few days ago	<[@user1502]> @user1785 nah we thought of it a few days ago
@user1785	['PROPN']	['O']	['NOUN']	B-PER	@user1502 @user1785 nah we thought of it a few days ago	@user1502 <[@user1785]> nah we thought of it a few days ago
@user1514	['PROPN']	['O']	['PROPN']	B-PER	@user1514 yeh i have no idea but i cant wait xx	<[@user1514]> yeh i have no idea but i cant wait xx
@user1529	['PROPN']	['O']	['PROPN']	B-PER	@user1529 you would have had 1,987,001 followers if you did <3 lol	<[@user1529]> you would have had 1,987,001 followers if you did <3 lol
@user1530	['PROPN']	['O']	['PROPN']	B-PER	@user1530 3 couplets , 1 refrain .	<[@user1530]> 3 couplets , 1 refrain .
@user1531	['PROPN']	['O']	['PROPN']	B-PER	@user1531 lol i know ...	<[@user1531]> lol i know ...
@user1542	['PROPN']	['O']	['NOUN']	B-PER	@user1542 lol !	<[@user1542]> lol !
@user1574	['PROPN']	['O']	['PROPN']	B-PER	@user1574 nice !	<[@user1574]> nice !
@user1585	['PROPN']	['O']	['ADJ']	B-PER	@user1585 lmfao that different	<[@user1585]> lmfao that different
@user1601	['PROPN']	['O']	['PROPN']	B-PER	@user1601 thank you !	<[@user1601]> thank you !
@user1647	['PROPN']	['O']	['PROPN']	B-PER	@user1647 follow @user1932 .. he has awesome quotes and your end up with wow .. :-) follow him if you like his tweets ..	<[@user1647]> follow @user1932 .. he has awesome quotes and your end up with wow .. :-) follow him if you like his tweets ..
@user1932	['PROPN']	['O']	['PROPN']	B-PER	@user1647 follow @user1932 .. he has awesome quotes and your end up with wow .. :-) follow him if you like his tweets ..	@user1647 follow <[@user1932]> .. he has awesome quotes and your end up with wow .. :-) follow him if you like his tweets ..
@user1671	['PROPN']	['O']	['PROPN']	B-PER	@user1671 oh ya i bet . should be lots of fun for you . lol :-)	<[@user1671]> oh ya i bet . should be lots of fun for you . lol :-)
@user1675	['PROPN']	['O']	['PROPN']	B-PER	@user1675 - lol i m jk ahah itss okayy ...	<[@user1675]> - lol i m jk ahah itss okayy ...
@user1683	['PROPN']	['O']	['PROPN']	B-PER	@user1683 hey :d please read this for me ! url191 i really wan na meet @user2082 in montreal ! <3	<[@user1683]> hey :d please read this for me ! url191 i really wan na meet @user2082 in montreal ! <3
@user2082	['PROPN']	['O']	['PROPN']	B-PER	@user1683 hey :d please read this for me ! url191 i really wan na meet @user2082 in montreal ! <3	@user1683 hey :d please read this for me ! url191 i really wan na meet <[@user2082]> in montreal ! <3
@user1720	['PROPN']	['O']	['PROPN']	B-PER	@user1720 kay !	<[@user1720]> kay !
@user1776	['PROPN']	['O']	['NUM']	B-PER	@user1776 protester had 4 men tackle her down , cop just watched ? i knew chief of police in my city , corrupt as hell !! i 'm re- joining today	<[@user1776]> protester had 4 men tackle her down , cop just watched ? i knew chief of police in my city , corrupt as hell !! i 'm re- joining today
